,CPT_CODE_OR_OTHER,Top_25_Avg,OSHPD_NUM,Hospital_Name
"Discission, secondary membranous cataract, laser surgery",66821,"$2,136.00",106334487,Riverside University Health System
"Endoscopy, Upper GI, with biopsy",43239,"$2,041.00",106334487,Riverside University Health System
"Endoscopy, Upper GI, diagnostic",43235,"$1,697.00",106334487,Riverside University Health System
"Excision, Breast Lesion",19120,"$6,235.00",106334487,Riverside University Health System
"Hernia Repair, Inguinal, 5 years and older",49505,"$6,655.00",106334487,Riverside University Health System
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,"$1,539.00",106334487,Riverside University Health System
"Tonsillectomy with Adenoidectomy, less than 12 years old",42826,"$5,025.00",106334487,Riverside University Health System
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Emergency Room Visit, Level 3 (moderate severity)",99283,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Outpatient Visit, established patient, 15 minutes",99213,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Basic Metabolic Panel,80048,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Blood Gas Analysis, including 02 saturation",82805,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Complete Blood Count, automated",85027,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Complete Blood Count, with differential WBC, automated",85025,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Comprehensive Metabolic Panel,80053,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Creatine Kinase (CK), (CPK), Total",82550,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Lipid Panel,80061,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Partial Thromboplastin Time,85730,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Prothrombin Time,85610,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Thyroid Stimulating Hormone,84443,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Troponin, Quantitative",84484,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Urinalysis, without microscopy",81002 or 81003,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Urinalysis, with microscopy",81000 or 81001,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"CT Scan, Abdomen, with contrast",74160,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"CT Scan, Head or Brain, without contrast",70450,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"CT Scan, Pelvis, with contrast",72193,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Mammography, Screening, Bilateral",77067,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"MRI, Brain, without contrast, followed by contrast",70553,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Ultrasound, Abdomen, Complete",76700,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"X-Ray, Lower Back, minimum four views",72110,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"X-Ray, Chest, two views",71046,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Echocardiography, Transthoracic, complete",93307,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Electrocardiogram, routine, with interpretation and report",93000,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Inhalation Treatment, pressurized or nonpressurized",94640,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Physical Therapy, Evaluation",97161-97163,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Physical Therapy, Gait Training",97116,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Physical Therapy, Therapeutic Exercise",97110,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Carpal Tunnel Surgery,64721,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Colonoscopy, diagnostic",45378,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Colonoscopy, with biopsy",45380,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Colonoscopy, with lesion removal, by snare technique",45385,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Discission, secondary membranous cataract, laser surgery",66821,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Endoscopy, Upper GI, with biopsy",43239,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Endoscopy, Upper GI, diagnostic",43235,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Hernia Repair, Inguinal, 5 years and older",49505,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Laparoscopic Cholecystectomy,47562,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
OT Ther Act Ea 15,97530,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
PT Neuro Re Ed,97112,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
PT Ther Activity,97530,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
PT Manual TX,97140,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
OT Thera Ex Ea 15,97110,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
OT Neuromsclr RE-E,97112,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
ST Tx SP/Lng/Vce/C,92507,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
OT SLFCR/HM  Mgmt t,97535,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Occupational Therapy Evaluation,97165-97167,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
ST Speech&Lang Eva,92523,,106334533, Vibra Rehabilitation Hospital of Rancho Mirage
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106334564,Temecula Valley Hospital
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$835.00,106334564,Temecula Valley Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,455.00",106334564,Temecula Valley Hospital
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$2,856.00",106334564,Temecula Valley Hospital
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$4,392.00",106334564,Temecula Valley Hospital
"Outpatient Visit, established patient, 15 minutes",99213,,106334564,Temecula Valley Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106334564,Temecula Valley Hospital
Basic Metabolic Panel,80048,,106334564,Temecula Valley Hospital
"Blood Gas Analysis, including 02 saturation",82805,,106334564,Temecula Valley Hospital
"Complete Blood Count, automated",85027,$126.00,106334564,Temecula Valley Hospital
"Complete Blood Count, with differential WBC, automated",85025,$191.00,106334564,Temecula Valley Hospital
Comprehensive Metabolic Panel,80053,$195.00,106334564,Temecula Valley Hospital
"Creatine Kinase (CK), (CPK), Total",82550,,106334564,Temecula Valley Hospital
Lipid Panel,80061,,106334564,Temecula Valley Hospital
Partial Thromboplastin Time,85730,$112.00,106334564,Temecula Valley Hospital
Prothrombin Time,85610,$88.00,106334564,Temecula Valley Hospital
Thyroid Stimulating Hormone,84443,$201.00,106334564,Temecula Valley Hospital
"Troponin, Quantitative",84484,$269.00,106334564,Temecula Valley Hospital
"Urinalysis, without microscopy",81002 or 81003,$163.00,106334564,Temecula Valley Hospital
"Urinalysis, with microscopy",81000 or 81001,$182.00,106334564,Temecula Valley Hospital
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106334564,Temecula Valley Hospital
"CT Scan, Abdomen, with contrast",74160,,106334564,Temecula Valley Hospital
"CT Scan, Head or Brain, without contrast",70450,"$3,863.00",106334564,Temecula Valley Hospital
"CT Scan, Pelvis, with contrast",72193,,106334564,Temecula Valley Hospital
"Mammography, Screening, Bilateral",77067,,106334564,Temecula Valley Hospital
"MRI, Brain, without contrast, followed by contrast",70553,"$4,329.00",106334564,Temecula Valley Hospital
"Ultrasound, Abdomen, Complete",76700,"$1,843.00",106334564,Temecula Valley Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,438.00",106334564,Temecula Valley Hospital
"X-Ray, Lower Back, minimum four views",72110,,106334564,Temecula Valley Hospital
"X-Ray, Chest, two views",71046,$706.00,106334564,Temecula Valley Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106334564,Temecula Valley Hospital
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106334564,Temecula Valley Hospital
"Echocardiography, Transthoracic, complete, without Doppler",93307,,106334564,Temecula Valley Hospital
"Electrocardiogram, routine, with interpretation and report",93000,,106334564,Temecula Valley Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,$473.00,106334564,Temecula Valley Hospital
"Physical Therapy, Evaluation Low complexity",97161,$201.00,106334564,Temecula Valley Hospital
"Physical Therapy, Evaluation Moderate complexity",97162,$268.00,106334564,Temecula Valley Hospital
"Physical Therapy, Evaluation High complexity",97163,$336.00,106334564,Temecula Valley Hospital
"Physical Therapy, Gait Training",97116,$124.00,106334564,Temecula Valley Hospital
"Physical Therapy, Therapeutic Exercise",97110,$152.00,106334564,Temecula Valley Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106334564,Temecula Valley Hospital
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"$26,332.00",106334564,Temecula Valley Hospital
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106334564,Temecula Valley Hospital
Carpal Tunnel Surgery,64721,"$13,351.00",106334564,Temecula Valley Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106334564,Temecula Valley Hospital
"Colonoscopy, diagnostic",45378,,106334564,Temecula Valley Hospital
"Colonoscopy, with biopsy",45380,"$7,265.00",106334564,Temecula Valley Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,"$5,392.00",106334564,Temecula Valley Hospital
"Discission, secondary membranous cataract, laser surgery",66821,,106334564,Temecula Valley Hospital
"Endoscopy, Upper GI, with biopsy",43239,"$11,132.00",106334564,Temecula Valley Hospital
"Endoscopy, Upper GI, diagnostic",43235,,106334564,Temecula Valley Hospital
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106334564,Temecula Valley Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,,106334564,Temecula Valley Hospital
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106334564,Temecula Valley Hospital
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106334564,Temecula Valley Hospital
Laparoscopic Cholecystectomy,47562,"$18,878.00",106334564,Temecula Valley Hospital
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,"$15,754.00",106334564,Temecula Valley Hospital
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106334564,Temecula Valley Hospital
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,$793.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,328.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$2,177.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$2,600.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Outpatient Visit, established patient, 15 minutes",99213,$293.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Basic Metabolic Panel,80048,$373.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Blood Gas Analysis, including 02 saturation",82805,"$1,103.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Complete Blood Count, automated",85027,$85.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Complete Blood Count, with differential WBC, automated",85025,$133.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Comprehensive Metabolic Panel,80053,$660.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Creatine Kinase (CK), (CPK), Total",82550,$107.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Lipid Panel,80061,$76.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Partial Thromboplastin Time,85730,$151.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Prothrombin Time,85610,$99.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Thyroid Stimulating Hormone,84443,$214.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Troponin, Quantitative",84484,$221.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Urinalysis, without microscopy",81002 or 81003,$69.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Urinalysis, with microscopy",81000 or 81001,$107.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"CT Scan, Abdomen, with contrast",74160,"$3,363.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"CT Scan, Head or Brain, without contrast",70450,"$2,808.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"CT Scan, Pelvis, with contrast",72193,"$3,036.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Mammography, Screening, Bilateral",77067,$466.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"MRI, Brain, without contrast, followed by contrast",70553,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Ultrasound, Abdomen, Complete",76700,"$1,909.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"X-Ray, Lower Back, minimum four views",72110,$886.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"X-Ray, Chest, two views",71046,$726.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Cardiac Catheterization, Left Heart, percutaneous ",93452,"$13,732.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Echocardiography, Transthoracic, complete, without Doppler",93307,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Electrocardiogram, routine, with interpretation and report",93000,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Inhalation Treatment, pressurized or nonpressurized",94640,$485.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Physical Therapy, Evaluation",97161-97163,$900.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Physical Therapy, Gait Training",97116,$284.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Physical Therapy, Therapeutic Exercise",97110,$193.00,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Carpal Tunnel Surgery,64721,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Colonoscopy, diagnostic",45378,"$4,739.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Colonoscopy, with biopsy",45380,"$5,207.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Colonoscopy, with lesion removal, by snare technique",45385,"$4,601.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Discission, secondary membranous cataract, laser surgery",66821,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Endoscopy, Upper GI, with biopsy",43239,"$4,673.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Endoscopy, Upper GI, diagnostic",43235,"$4,512.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Hernia Repair, Inguinal, 5 years and older",49505,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,"$2,346.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,"$5,247.00",106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
Laparoscopic Cholecystectomy,47562,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106340947,Mercy General Hospital
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,166.00",106340947,Mercy General Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,160.00",106340947,Mercy General Hospital
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$3,601.00",106340947,Mercy General Hospital
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$5,442.00",106340947,Mercy General Hospital
"Outpatient Visit, established patient, 15 minutes",99213,$358.00,106340947,Mercy General Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106340947,Mercy General Hospital
Basic Metabolic Panel,80048,$658.00,106340947,Mercy General Hospital
"Blood Gas Analysis, including 02 saturation",82805,$745.00,106340947,Mercy General Hospital
"Complete Blood Count, automated",85027,$168.00,106340947,Mercy General Hospital
"Complete Blood Count, with differential WBC, automated",85025,$326.00,106340947,Mercy General Hospital
Comprehensive Metabolic Panel,80053,"$1,310.00",106340947,Mercy General Hospital
"Creatine Kinase (CK), (CPK), Total",82550,$281.00,106340947,Mercy General Hospital
Lipid Panel,80061,$536.00,106340947,Mercy General Hospital
Partial Thromboplastin Time,85730,$250.00,106340947,Mercy General Hospital
Prothrombin Time,85610,$196.00,106340947,Mercy General Hospital
Thyroid Stimulating Hormone,84443,$815.00,106340947,Mercy General Hospital
"Troponin, Quantitative",84484,,106340947,Mercy General Hospital
"Urinalysis, without microscopy",81002 or 81003,$133.00,106340947,Mercy General Hospital
"Urinalysis, with microscopy",81000 or 81001,$162.00,106340947,Mercy General Hospital
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106340947,Mercy General Hospital
"CT Scan, Abdomen, with contrast",74160,"$6,814.00",106340947,Mercy General Hospital
"CT Scan, Head or Brain, without contrast",70450,"$4,604.00",106340947,Mercy General Hospital
"CT Scan, Pelvis, with contrast",72193,"$7,971.00",106340947,Mercy General Hospital
"Mammography, Screening, Bilateral",77067,,106340947,Mercy General Hospital
"MRI, Brain, without contrast, followed by contrast",70553,"$9,743.00",106340947,Mercy General Hospital
"Ultrasound, Abdomen, Complete",76700,"$1,858.00",106340947,Mercy General Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,575.00",106340947,Mercy General Hospital
"X-Ray, Lower Back, minimum four views",72110,"$1,597.00",106340947,Mercy General Hospital
"X-Ray, Chest, two views",71046,"$1,358.00",106340947,Mercy General Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106340947,Mercy General Hospital
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106340947,Mercy General Hospital
"Echocardiography, Transthoracic, complete, without Doppler",93307,,106340947,Mercy General Hospital
"Electrocardiogram, routine, with interpretation and report",93000,,106340947,Mercy General Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,,106340947,Mercy General Hospital
"Physical Therapy, Evaluation",97161-97163,,106340947,Mercy General Hospital
"Physical Therapy, Gait Training",97116,,106340947,Mercy General Hospital
"Physical Therapy, Therapeutic Exercise",97110,,106340947,Mercy General Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106340947,Mercy General Hospital
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106340947,Mercy General Hospital
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106340947,Mercy General Hospital
Carpal Tunnel Surgery,64721,,106340947,Mercy General Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106340947,Mercy General Hospital
"Colonoscopy, diagnostic",45378,,106340947,Mercy General Hospital
"Colonoscopy, with biopsy",45380,,106340947,Mercy General Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,,106340947,Mercy General Hospital
"Discission, secondary membranous cataract, laser surgery",66821,,106340947,Mercy General Hospital
"Endoscopy, Upper GI, with biopsy",43239,,106340947,Mercy General Hospital
"Endoscopy, Upper GI, diagnostic",43235,,106340947,Mercy General Hospital
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106340947,Mercy General Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,,106340947,Mercy General Hospital
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,,106340947,Mercy General Hospital
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106340947,Mercy General Hospital
Laparoscopic Cholecystectomy,47562,,106340947,Mercy General Hospital
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106340947,Mercy General Hospital
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106340947,Mercy General Hospital
Evaluation & Management Services (CPT Codes 99201-99499),2019 CPT Code,Average Charge,106340950,Mercy San Juan Medical Center
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,166.00",106340950,Mercy San Juan Medical Center
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,160.00",106340950,Mercy San Juan Medical Center
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$3,601.00",106340950,Mercy San Juan Medical Center
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$5,442.00",106340950,Mercy San Juan Medical Center
"Outpatient Visit, established patient, 15 minutes",99213,$358.00,106340950,Mercy San Juan Medical Center
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106340950,Mercy San Juan Medical Center
Basic Metabolic Panel,80048,$658.00,106340950,Mercy San Juan Medical Center
"Blood Gas Analysis, including 02 saturation",82805,$745.00,106340950,Mercy San Juan Medical Center
"Complete Blood Count, automated",85027,$168.00,106340950,Mercy San Juan Medical Center
"Complete Blood Count, with differential WBC, automated",85025,$326.00,106340950,Mercy San Juan Medical Center
Comprehensive Metabolic Panel,80053,"$1,310.00",106340950,Mercy San Juan Medical Center
"Creatine Kinase (CK), (CPK), Total",82550,$281.00,106340950,Mercy San Juan Medical Center
Lipid Panel,80061,$536.00,106340950,Mercy San Juan Medical Center
Partial Thromboplastin Time,85730,$250.00,106340950,Mercy San Juan Medical Center
Prothrombin Time,85610,$196.00,106340950,Mercy San Juan Medical Center
Thyroid Stimulating Hormone,84443,$815.00,106340950,Mercy San Juan Medical Center
"Troponin, Quantitative",84484,,106340950,Mercy San Juan Medical Center
"Urinalysis, without microscopy",81002 or 81003,$133.00,106340950,Mercy San Juan Medical Center
"Urinalysis, with microscopy",81000 or 81001,$162.00,106340950,Mercy San Juan Medical Center
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106340950,Mercy San Juan Medical Center
"CT Scan, Abdomen, with contrast",74160,"$6,814.00",106340950,Mercy San Juan Medical Center
"CT Scan, Head or Brain, without contrast",70450,"$4,604.00",106340950,Mercy San Juan Medical Center
"CT Scan, Pelvis, with contrast",72193,"$7,971.00",106340950,Mercy San Juan Medical Center
"Mammography, Screening, Bilateral",77067,,106340950,Mercy San Juan Medical Center
"MRI, Brain, without contrast, followed by contrast",70553,"$9,743.00",106340950,Mercy San Juan Medical Center
"Ultrasound, Abdomen, Complete",76700,"$1,858.00",106340950,Mercy San Juan Medical Center
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,575.00",106340950,Mercy San Juan Medical Center
"X-Ray, Lower Back, minimum four views",72110,"$1,597.00",106340950,Mercy San Juan Medical Center
"X-Ray, Chest, two views",71046,"$1,358.00",106340950,Mercy San Juan Medical Center
